Ответ 1,Ответ 2,Схожесть
мясо,индейка,0
хлеб,арбузы,0
индейка,виноград,0
соки,курица,0
виноград,оливье,0
суши,грибы,0
крылышки,восточные сладости,0
джем,рыба,0
суши,яблоки,0
пицца,рыба,0
чизкейк,бисквит,0
уха,минеральная вода,0
абрикосы,медовик,0
чизкейк,пирожные,0
ребрышки,шампанское,0
рулеты,рыба,0
коктейли,кофе,0
медовик,сэндвичи,0
бутерброды,торты,0
джем,выпечка,0
крылышки,картофельное пюре,0
арбузы,шашлыки,0
мед,бутерброды,0
минеральная вода,чизкейк,0
роллы,конфеты,0
супы,пицца,0
выпечка,коктейли,0
салаты,мармелад,0
творог,бисквит,0
пастила,рулеты,0
красная икра,мясные блюда,0
колбаса,медовик,0
выпечка,роллы,0
тарталетки,фрукты,0
водка,пельмени,0
курица,салаты,0
картофельное пюре,фруктовый салат,0
торт,колбаса,0
картофель,чипсы,0
фаршированная рыба,зефир,0
уха,чипсы,0
спагетти,орехи,0
пельмени,коктейли,0
вода,груши,0
десерты,медовик,0
джем,эклеры,0
минеральная вода,хлеб,0
торты,яблоки,0
йогурты,зефир,0
орехи,сухофрукты,0
овощной салат,крылышки,0
суши,пастила,0
пряники,орехи,0
восточные сладости,уха,0
борщ,чизкейк,0
овощной салат,тарталетки,0
гамбургеры,вода,0
плов,ребрышки,0
картофельное пюре,абрикосы,0
лаваш,дыни,0
творог,чипсы,0
рыба,виноград,0
кексы,чай,0
сок гранатовый,курица,0
гриль,варенье,0
пастила,коктейли,0
фаршированная рыба,вино,0
окрошка,восточные сладости,0
конфеты,вино,0
выпечка,бутерброды,0
черная икра,джем,0
мясо на гриле,борщ,0
варенье,кексы,0
роллы,мармелад,0
десерты,мед,0
йогурты,рулеты,0
паста,мандариновый сок,0
шампанское,лаваш,0
грибы,рулеты,0
овощи,сок гранатовый,0
картофель,пастила,0
спагетти,фруктовый салат,0
пельмени,тирамису,0
соки,водка,0
окрошка,паста,0
мясные блюда,уха,0
соки,медовик,0
водка,курица,0
абрикосы,тарталетки,0
мясо на гриле,чай,0
джем,груши,0
восточные сладости,красная икра,0
сок апельсиновый,фрукты,0
шашлыки,лаваш,0
шоколад,смузи,0
роллы,пицца,0
кофе,рыба,0
пирожные,конфеты,0
абрикосы,арбузы,0
баклажаны,индейка,0
окрошка,дыни,0
сок апельсиновый,шашлыки,0
сухофрукты,роллы,0
чизкейк,мясо,0
спагетти,чизкейк,0
курица,орехи,0
курица,хлеб,0
коктейли,эклеры,0
фаршированная рыба,плов,0
чипсы,восточные сладости,0
салаты,соки,0
яблоки,выпечка,0
фрукты,гриль,0
тирамису,сухофрукты,0
сок апельсиновый,творог,0
окрошка,зефир,0
рулеты,коктейли,0
грибы,бутерброды,0
мясо на гриле,восточные сладости,0
роллы,восточные сладости,0
вода,фаршированная рыба,0
плов,шашлыки,0
мандариновый сок,минеральная вода,0
шампанское,медовик,0
блины,рулеты,0
вода,эклеры,0
пироги,мясо на гриле,0
индейка,окрошка,0
винегрет,варенье,0
грибы,чипсы,0
сэндвичи,мясо,0
ананасовый сок,лаваш,0
ананасовый сок,медовик,0
пирожные,гриль,0
окрошка,роллы,0
винегрет,торты,0
картофель фри,гамбургеры,0
пицца,восточные сладости,0
грибы,персики,0
фрукты,бутерброды,0
картофель,варенье,0
пельмени,картофельное пюре,0
ребрышки,красная икра,0
шампанское,колбаса,0
пироги,пастила,0
сладости,сэндвичи,0
фаршированная рыба,мед,0
фаршированная рыба,рулеты,0
коктейли,шашлыки,0
сыр,зефир,0
вино,курица,0
кабачки,лаваш,0
соки,чипсы,0
чипсы,бутерброды,0
черная икра,красная икра,0
рулеты,баклажаны,0
яблоки,гриль,0
кабачки,овощной салат,0
мясо на гриле,чай,0
пирожные,чай,0
сыр,варенье,0
чизкейк,рулеты,0
блины,хумус,0
тирамису,пицца,0
вино,крылышки,0
колбаса,мармелад,0
салаты,торты,0
абрикосы,роллы,0
творог,эклеры,0
шоколад,вино,0
винегрет,лаваш,0
бисквит,мороженое,0
индейка,мясные блюда,0
орехи,картофельное пюре,0
минеральная вода,сок апельсиновый,0
коктейли,колбаса,0
шашлыки,гамбургеры,0
мороженое,шампанское,0
абрикосы,яблоки,0
красная икра,колбаса,0
конфеты,йогурты,0
десерты,мандариновый сок,0
соки,картофель,0
торт,творог,0
пельмени,мед,0
сметана,алкоголь,0
персики,пирожные,0
мясные блюда,эклеры,0
шоколад,овощи,0
бутерброды,эклеры,0
хумус,курица,0
орехи,плов,0
красная икра,спагетти,0
картофель,сэндвичи,0
выпечка,мороженое,0
орехи,ребрышки,0
блины,пряники,0
баклажаны,тирамису,0
сэндвичи,картофель,0
конфеты,шоколад,0
творог,колбаса,0
джем,мясо,0
яблоки,кексы,0
хумус,смузи,0
баклажаны,медовик,0
бисквит,пельмени,0
картофельное пюре,газированная вода,0
джем,лаваш,0
рыба,зефир,0
шашлыки,мороженое,0
рулеты,тирамису,0
грибы,сэндвичи,0
борщ,оливье,0
колбаса,выпечка,0
сухофрукты,индейка,0
арбузы,творог,0
эклеры,спагетти,0
пельмени,шоколад,0
варенье,газированная вода,0
ребрышки,крылышки,0
десерты,водка,0
виноград,выпечка,0
яблоки,мандариновый сок,0
смузи,окрошка,0
сладости,паста,0
пицца,виноград,0
лаваш,яблоки,0
пряники,творог,0
коктейли,шампанское,0
шоколад,хлеб,0
курица,орехи,0
виноград,спагетти,0
дыни,кабачки,0
салаты,тирамису,0
винегрет,коктейли,0
овощи,шампанское,0
суши,пряники,0
красная икра,роллы,0
соки,груши,0
мясные блюда,груши,0
сыр,борщ,0
минеральная вода,роллы,0
йогурты,торты,0
эклеры,картофель,0
курица,эклеры,0
десерты,рыба,0
паста,торт,0
сухофрукты,гриль,0
эклеры,бутерброды,0
оливье,паста,0
холодец,алкоголь,0
ананасовый сок,пирожные,0
тарталетки,смузи,0
пельмени,арбузы,0
пельмени,сок гранатовый,0
чипсы,картофель,0
тарталетки,груши,0
фаршированная рыба,дыни,0
виноград,пряники,0
варенье,чизкейк,0
шашлыки,йогурты,0
супы,мясные блюда,0
вода,роллы,0
алкоголь,груши,0
гамбургеры,соки,0
паста,окрошка,0
блины,сыр,0
оливье,торт,0
пельмени,оливье,0
шашлыки,сэндвичи,0
газированная вода,курица,0
чай,овощной салат,0
картофель,холодец,0
чипсы,пироги,0
груши,колбаса,0
варенье,мандариновый сок,0
блины,фруктовый салат,0
уха,мясо на гриле,0
чипсы,рыба,0
бутерброды,абрикосы,0
салаты,дыни,0
оливье,крылышки,0
шоколад,варенье,0
хлеб,борщ,0
пироги,гамбургеры,0
винегрет,рыба,0
эклеры,суши,0
бутерброды,тарталетки,0
десерты,коктейли,0
мандариновый сок,тарталетки,0
фрукты,минеральная вода,0
вино,сухофрукты,0
картофель,десерты,0
пицца,груши,0
овощной салат,гамбургеры,0
холодец,шампанское,0
кабачки,лаваш,0
творог,бисквит,0
пряники,роллы,0
абрикосы,мясные блюда,0
